item;classe;vetor
1;cobrancas_indevidas_servicos_nao_contratados;[0.20533016324043274, 0.058395881205797195, -0.060135167092084885, 0.05310593172907829, -0.1867903769016266, 0.2663767337799072, 0.060260601341724396, 0.21522140502929688, -0.2433907836675644, 0.0024786959402263165, -0.4659017324447632, 0.11691435426473618, 0.048464335501194, 0.38333189487457275, -0.17224225401878357, -0.21572400629520416, 0.027691584080457687, -0.46806782484054565, -0.26983776688575745, 0.04379820078611374, 0.02436808869242668, 0.07637756317853928, 0.02925356850028038, 0.28721892833709717, 0.30164358019828796, 0.05673641711473465, -0.2182231992483139, 0.14267219603061676, -0.17836427688598633, -0.226804718375206, -0.1285700500011444, -0.03960160166025162, 0.08710641413927078, 0.08357952535152435, 0.0896618440747261, -0.044000156223773956, 0.1853635311126709, -0.48615196347236633, 0.014746371656656265, 0.2565414607524872, 0.17058180272579193, 0.015605401247739792, 0.38253432512283325, -0.20954053103923798, 0.18006429076194763, 0.09770580381155014, 0.06908293068408966, 0.295899361371994, 0.44619545340538025, -0.1938973218202591, -0.04564303159713745, -0.5619716048240662, -0.15679635107517242, 0.03431827202439308, 0.17427578568458557, 0.025584448128938675, -0.04436786472797394, 0.13443101942539215, -0.14419876039028168, 0.32035204768180847, 0.031928449869155884, 0.0968526154756546, -0.36701521277427673, 0.23495079576969147, 0.2587958574295044, 0.049430396407842636, 0.14713457226753235, -0.251533567905426, -0.33951982855796814, 0.087575264275074, -0.06478870660066605, -0.08538306504487991, -0.1272084265947342, -0.2159397453069687, 0.07371567189693451, 0.08727140724658966, 0.07563550770282745, -0.14038832485675812, 0.03233880549669266, -0.22423285245895386, 0.060219984501600266, -0.16607359051704407, -0.24989937245845795, 0.05101665481925011, -0.3294920325279236, 0.10190603137016296, -0.18683549761772156, -0.39437854290008545, 0.014953842386603355, -0.030780013650655746, -0.2679600119590759, 0.4104121923446655, 0.14276298880577087, -0.2834055721759796, 0.15380313992500305, -0.16948911547660828, -0.1435471773147583, 0.12747177481651306, -0.20028485357761383, -0.11213351786136627]
2;cobrancas_indevidas_servicos_nao_contratados;[0.15719355642795563, 0.04149791970849037, -0.04368452727794647, 0.03598835691809654, -0.13962715864181519, 0.19752736389636993, 0.04552304372191429, 0.15880835056304932, -0.18042349815368652, 0.0012658096384257078, -0.3553984463214874, 0.08963342756032944, 0.03654659166932106, 0.2891784906387329, -0.1311020851135254, -0.16330486536026, 0.023792294785380363, -0.35768699645996094, -0.2038397341966629, 0.03484972566366196, 0.019032711163163185, 0.05830954387784004, 0.022352343425154686, 0.21797813475131989, 0.230726420879364, 0.04756281524896622, -0.16683520376682281, 0.10873213410377502, -0.13239245116710663, -0.17117664217948914, -0.10005350410938263, -0.034177325665950775, 0.06283053755760193, 0.06251142174005508, 0.07065237313508987, -0.0333838053047657, 0.1411173939704895, -0.36961039900779724, 0.00777592184022069, 0.19284211099147797, 0.12538109719753265, 0.011334997601807117, 0.2881618142127991, -0.158499613404274, 0.1366632580757141, 0.07270456105470657, 0.05098990350961685, 0.22335094213485718, 0.3372943103313446, -0.1466236412525177, -0.038308411836624146, -0.4295710325241089, -0.12019781768321991, 0.025187281891703606, 0.13294753432273865, 0.021798966452479362, -0.03222144395112991, 0.10566449910402298, -0.10779630392789841, 0.24490870535373688, 0.028781598433852196, 0.0735437199473381, -0.27917805314064026, 0.17516981065273285, 0.19713149964809418, 0.03442741557955742, 0.11113465577363968, -0.18935371935367584, -0.2594641447067261, 0.07065354287624359, -0.049476563930511475, -0.06170858442783356, -0.09683895111083984, -0.16712675988674164, 0.05541595071554184, 0.06667821109294891, 0.056429315358400345, -0.10591954737901688, 0.023247821256518364, -0.16988641023635864, 0.04372764006257057, -0.12463364750146866, -0.19012537598609924, 0.04029199853539467, -0.24904316663742065, 0.07477731257677078, -0.14013217389583588, -0.2982204854488373, 0.011864498257637024, -0.020864050835371017, -0.20320749282836914, 0.30786558985710144, 0.107292540371418, -0.21699446439743042, 0.11908633261919022, -0.1282234489917755, -0.1090267151594162, 0.09991729259490967, -0.15033985674381256, -0.0835627019405365]
3;cobrancas_indevidas_servicos_nao_contratados;[0.23351210355758667, 0.06814529746770859, -0.0661008432507515, 0.059060677886009216, -0.20818926393985748, 0.2946816384792328, 0.06821300834417343, 0.24091583490371704, -0.2717408835887909, 0.00036069549969397485, -0.5287309885025024, 0.12911024689674377, 0.05258476734161377, 0.42734047770500183, -0.19449232518672943, -0.24317581951618195, 0.03246418759226799, -0.5274210572242737, -0.3060935139656067, 0.04906399920582771, 0.02687748149037361, 0.0845186859369278, 0.03502384200692177, 0.32131364941596985, 0.33769482374191284, 0.0659656971693039, -0.24583834409713745, 0.16021625697612762, -0.19845332205295563, -0.2556968927383423, -0.15001295506954193, -0.04446279630064964, 0.09503065794706345, 0.09180784970521927, 0.10324107110500336, -0.04710992053151131, 0.20726428925991058, -0.5470327138900757, 0.015276695601642132, 0.28499656915664673, 0.19087465107440948, 0.017065158113837242, 0.4289719760417938, -0.2355908751487732, 0.20285628736019135, 0.10748954117298126, 0.07702719420194626, 0.3296610414981842, 0.5025991797447205, -0.21781152486801147, -0.05359697714447975, -0.6320983171463013, -0.175675168633461, 0.03478347510099411, 0.19551673531532288, 0.03269302472472191, -0.053351011127233505, 0.15269458293914795, -0.16146503388881683, 0.35869482159614563, 0.03850676864385605, 0.10650315880775452, -0.4111796021461487, 0.26266196370124817, 0.29303061962127686, 0.05438251793384552, 0.163731649518013, -0.2811005413532257, -0.3795061707496643, 0.10054147243499756, -0.073028065264225, -0.09235729277133942, -0.1440655142068863, -0.24551613628864288, 0.08179432898759842, 0.10048572719097137, 0.0859091654419899, -0.1573212891817093, 0.036379534751176834, -0.2525308132171631, 0.06397003680467606, -0.1873548924922943, -0.2808881103992462, 0.06062457710504532, -0.36960265040397644, 0.1137491837143898, -0.2070881426334381, -0.4397306442260742, 0.01811227947473526, -0.032719600945711136, -0.3004975914955139, 0.45590490102767944, 0.16154275834560394, -0.3177343010902405, 0.17522954940795898, -0.19247983396053314, -0.16203001141548157, 0.14691755175590515, -0.22404401004314423, -0.12394340336322784]
4;triagem_inicial_encaminhamento;[0.19881092011928558, 0.05920441821217537, -0.060018498450517654, 0.053009528666734695, -0.18284814059734344, 0.26363274455070496, 0.05651893466711044, 0.21106240153312683, -0.23478253185749054, -0.001654925406910479, -0.4630775451660156, 0.1104377955198288, 0.05295466631650925, 0.3736656904220581, -0.17020414769649506, -0.21341721713542938, 0.026717429980635643, -0.4608260691165924, -0.2710776627063751, 0.038806237280368805, 0.021472986787557602, 0.07684119790792465, 0.025972822681069374, 0.28244784474372864, 0.29455405473709106, 0.061320602893829346, -0.21495385468006134, 0.136753112077713, -0.1743818074464798, -0.2306428700685501, -0.130518838763237, -0.03888539969921112, 0.08007681369781494, 0.08234118670225143, 0.08937141299247742, -0.039010558277368546, 0.17989668250083923, -0.4792056083679199, 0.014373819343745708, 0.2524556815624237, 0.17122937738895416, 0.01603441871702671, 0.37520214915275574, -0.20505297183990479, 0.17910265922546387, 0.09488581120967865, 0.06956648081541061, 0.2890437841415405, 0.4452483654022217, -0.18917357921600342, -0.043653637170791626, -0.5508683919906616, -0.15492258965969086, 0.03302251547574997, 0.16909745335578918, 0.02734142541885376, -0.044122956693172455, 0.13570745289325714, -0.14816564321517944, 0.31515637040138245, 0.03293895721435547, 0.09272037446498871, -0.3577953577041626, 0.22908329963684082, 0.25286155939102173, 0.04653298109769821, 0.14056870341300964, -0.24719135463237762, -0.33819156885147095, 0.08693379163742065, -0.0602324903011322, -0.08570337295532227, -0.12649419903755188, -0.21793727576732635, 0.07215368747711182, 0.08636446297168732, 0.07719133794307709, -0.14079073071479797, 0.031991180032491684, -0.22406740486621857, 0.0582769513130188, -0.16862012445926666, -0.24581408500671387, 0.050619304180145264, -0.32433390617370605, 0.09920640289783478, -0.1872437745332718, -0.3894469141960144, 0.015598815865814686, -0.031795307993888855, -0.2639780640602112, 0.40289124846458435, 0.14775855839252472, -0.27946680784225464, 0.15179213881492615, -0.16741898655891418, -0.1385239064693451, 0.1299179047346115, -0.2024216651916504, -0.10548897832632065]
5;triagem_inicial_encaminhamento;[0.22534555196762085, 0.06566290557384491, -0.06789176911115646, 0.0580512136220932, -0.20323427021503448, 0.2876838147640228, 0.06325140595436096, 0.2363695651292801, -0.2642036974430084, 0.0007028054096736014, -0.5098670125007629, 0.1293710321187973, 0.050945769995450974, 0.4172787368297577, -0.18737268447875977, -0.23608727753162384, 0.032605696469545364, -0.515487015247345, -0.2938893139362335, 0.04750276729464531, 0.028618216514587402, 0.07572346925735474, 0.030794648453593254, 0.31620779633522034, 0.33229273557662964, 0.0668426975607872, -0.24354541301727295, 0.15508675575256348, -0.19258393347263336, -0.24785268306732178, -0.14197559654712677, -0.04679444804787636, 0.09026401489973068, 0.08974313735961914, 0.09997713565826416, -0.044577956199645996, 0.20520655810832977, -0.5352314114570618, 0.013778970576822758, 0.2842678129673004, 0.18566566705703735, 0.015362256206572056, 0.4169791638851166, -0.22712218761444092, 0.1981351226568222, 0.10406443476676941, 0.07540878653526306, 0.3260509669780731, 0.4875459671020508, -0.2101096361875534, -0.05156851187348366, -0.6215717196464539, -0.17059443891048431, 0.03512291982769966, 0.19196881353855133, 0.030799828469753265, -0.05309697985649109, 0.14870254695415497, -0.15799352526664734, 0.3532532751560211, 0.03733230382204056, 0.10924544185400009, -0.4037066400051117, 0.2584477365016937, 0.28190240263938904, 0.05441883206367493, 0.15923161804676056, -0.27638670802116394, -0.3737580478191376, 0.0993710532784462, -0.07064885646104813, -0.09276490658521652, -0.1409505009651184, -0.2381465584039688, 0.08363866060972214, 0.0938352718949318, 0.08085033297538757, -0.15144555270671844, 0.03620569035410881, -0.2452295422554016, 0.06216546893119812, -0.17989826202392578, -0.27207469940185547, 0.05929342284798622, -0.3624785840511322, 0.10797843337059021, -0.20610614120960236, -0.42962440848350525, 0.015272136777639389, -0.03363174945116043, -0.2925054728984833, 0.44207966327667236, 0.15538389980793, -0.30989810824394226, 0.17162106931209564, -0.18321801722049713, -0.1594805270433426, 0.14325843751430511, -0.2215188890695572, -0.11894214898347855]
6;cobrancas_indevidas_servicos_nao_contratados;[0.21624301373958588, 0.06391298770904541, -0.06250495463609695, 0.05343079939484596, -0.19457104802131653, 0.275017648935318, 0.06308599561452866, 0.22687095403671265, -0.2555401623249054, 0.00026655528927221894, -0.48887336254119873, 0.12137726694345474, 0.05002583563327789, 0.3987240195274353, -0.18023735284805298, -0.2249463051557541, 0.029888655990362167, -0.48998746275901794, -0.28260889649391174, 0.04776259884238243, 0.02322610281407833, 0.07850860804319382, 0.03319695219397545, 0.29976263642311096, 0.31664764881134033, 0.06071363389492035, -0.22769172489643097, 0.14816886186599731, -0.1864791214466095, -0.23936107754707336, -0.13521915674209595, -0.04107820987701416, 0.0899597555398941, 0.0879080519080162, 0.09428895264863968, -0.04226536303758621, 0.19562871754169464, -0.5113136768341064, 0.014752513729035854, 0.27044984698295593, 0.1803426593542099, 0.01443602703511715, 0.40053147077560425, -0.21793612837791443, 0.19062432646751404, 0.10172100365161896, 0.07139842212200165, 0.3081168830394745, 0.4698575735092163, -0.20348529517650604, -0.05076109245419502, -0.592219352722168, -0.16520123183727264, 0.03487000614404678, 0.18091869354248047, 0.030068930238485336, -0.04921185225248337, 0.14303305745124817, -0.15339532494544983, 0.33604541420936584, 0.03294626250863075, 0.0994630679488182, -0.38441067934036255, 0.2458510547876358, 0.2726577818393707, 0.05101093649864197, 0.1529521495103836, -0.262179434299469, -0.3552270233631134, 0.09289286285638809, -0.06844614446163177, -0.08772493898868561, -0.13572464883327484, -0.22759249806404114, 0.07649966329336166, 0.09304650127887726, 0.07914653420448303, -0.14668072760105133, 0.034253936260938644, -0.23710456490516663, 0.06094237044453621, -0.17517979443073273, -0.26164624094963074, 0.0552237331867218, -0.3449801802635193, 0.10584192723035812, -0.1951352208852768, -0.4093141257762909, 0.016169218346476555, -0.03483821451663971, -0.281425803899765, 0.42580509185791016, 0.15051676332950592, -0.2964908182621002, 0.16210049390792847, -0.1766335666179657, -0.15086247026920319, 0.13497072458267212, -0.20991720259189606, -0.11344623565673828]
7;triagem_inicial_encaminhamento;[0.21253661811351776, 0.06014323979616165, -0.06415654718875885, 0.05406545475125313, -0.19416160881519318, 0.27225461602211, 0.06266189366579056, 0.2253674417734146, -0.2494651973247528, 0.0007675223750993609, -0.48788854479789734, 0.12056411057710648, 0.051493965089321136, 0.3953825831413269, -0.17894339561462402, -0.22508935630321503, 0.026483172550797462, -0.4874851107597351, -0.28138267993927, 0.04222888499498367, 0.025853650644421577, 0.07890984416007996, 0.02750193141400814, 0.29876217246055603, 0.3110390305519104, 0.062080394476652145, -0.23053206503391266, 0.14769679307937622, -0.18375328183174133, -0.23407380282878876, -0.13488759100437164, -0.0412261001765728, 0.09250197559595108, 0.08426313102245331, 0.09539051353931427, -0.0428236722946167, 0.19307759404182434, -0.5079851150512695, 0.014037635177373886, 0.26848074793815613, 0.17645195126533508, 0.015565325506031513, 0.39561495184898376, -0.21596232056617737, 0.18972451984882355, 0.09782878309488297, 0.07586300373077393, 0.30698883533477783, 0.46495896577835083, -0.20248976349830627, -0.050292205065488815, -0.585119903087616, -0.1634320616722107, 0.031040696427226067, 0.17937792837619781, 0.02690626122057438, -0.04969240725040436, 0.14461323618888855, -0.15033164620399475, 0.336019903421402, 0.031012237071990967, 0.09944663941860199, -0.3828781545162201, 0.24518124759197235, 0.2706124484539032, 0.050681598484516144, 0.15055616199970245, -0.2617938220500946, -0.35439032316207886, 0.09678561240434647, -0.06989458203315735, -0.08815763145685196, -0.13314703106880188, -0.22097845375537872, 0.07498408108949661, 0.08788158744573593, 0.07636263221502304, -0.14378660917282104, 0.034312307834625244, -0.2371857911348343, 0.05416896566748619, -0.17146728932857513, -0.25774115324020386, 0.05607140064239502, -0.344327837228775, 0.10396867245435715, -0.19045940041542053, -0.4099273383617401, 0.014243509620428085, -0.0315607488155365, -0.2802862226963043, 0.4200432002544403, 0.14507979154586792, -0.2960674464702606, 0.16217570006847382, -0.17487448453903198, -0.15023092925548553, 0.13611015677452087, -0.20903745293617249, -0.1143791526556015]
8;triagem_inicial_encaminhamento;[0.23748284578323364, 0.07217054069042206, -0.06500079482793808, 0.05711543187499046, -0.218259796500206, 0.30615636706352234, 0.06698476523160934, 0.2518426775932312, -0.2805176377296448, -0.00257744244299829, -0.5338438153266907, 0.13238947093486786, 0.05380544438958168, 0.4378966987133026, -0.19987522065639496, -0.24860842525959015, 0.029932968318462372, -0.5407121777534485, -0.30855050683021545, 0.05221698060631752, 0.033117104321718216, 0.08229968696832657, 0.03243662044405937, 0.3319396674633026, 0.34764039516448975, 0.0760466605424881, -0.2507241666316986, 0.16680745780467987, -0.20460082590579987, -0.26080772280693054, -0.1444564014673233, -0.0461563803255558, 0.10005655884742737, 0.09446325898170471, 0.10168126970529556, -0.04618630185723305, 0.21145719289779663, -0.5553937554359436, 0.016552938148379326, 0.2956028878688812, 0.1938433200120926, 0.014118190854787827, 0.43987560272216797, -0.2386767715215683, 0.2082792967557907, 0.10947424173355103, 0.07782755047082901, 0.337222695350647, 0.5105814337730408, -0.21819579601287842, -0.05698585510253906, -0.652611494064331, -0.18425802886486053, 0.03638250753283501, 0.19719624519348145, 0.02753901295363903, -0.058796048164367676, 0.15818139910697937, -0.1649230271577835, 0.3703594207763672, 0.035760682076215744, 0.11386682838201523, -0.4249842166900635, 0.26798585057258606, 0.2972249686717987, 0.05165335536003113, 0.1687992662191391, -0.2836221158504486, -0.39368823170661926, 0.1099160835146904, -0.0740412250161171, -0.09570620208978653, -0.14602668583393097, -0.24891149997711182, 0.08664420247077942, 0.10667676478624344, 0.07603774219751358, -0.1650923490524292, 0.043281495571136475, -0.25454384088516235, 0.06654733419418335, -0.19076012074947357, -0.2884528934955597, 0.06492594629526138, -0.37834176421165466, 0.11937295645475388, -0.21196633577346802, -0.4532000720500946, 0.01813112013041973, -0.038897786289453506, -0.30857446789741516, 0.4657464921474457, 0.15711282193660736, -0.32592931389808655, 0.17735157907009125, -0.1910306066274643, -0.16663187742233276, 0.1463674008846283, -0.22837425768375397, -0.12172115594148636]
9;contratos_rescisao_arrependimento;[0.24178043007850647, 0.07076404243707657, -0.07540571689605713, 0.06276556104421616, -0.22019657492637634, 0.3162596821784973, 0.07346087694168091, 0.2576657235622406, -0.28766149282455444, 0.0008344023372046649, -0.5539535284042358, 0.1363118290901184, 0.05642465502023697, 0.45254072546958923, -0.20362284779548645, -0.2541199028491974, 0.028178494423627853, -0.56034255027771, -0.318513423204422, 0.0510680265724659, 0.030848568305373192, 0.09087834507226944, 0.03363940864801407, 0.3381367325782776, 0.35689595341682434, 0.072627954185009, -0.26654353737831116, 0.16688866913318634, -0.21109816431999207, -0.27267614006996155, -0.1531815528869629, -0.04620891809463501, 0.09642843157052994, 0.09763622283935547, 0.11436794698238373, -0.05004235729575157, 0.22553710639476776, -0.5780321955680847, 0.01601913385093212, 0.30650395154953003, 0.20471273362636566, 0.01626875251531601, 0.4502219557762146, -0.24477696418762207, 0.22210676968097687, 0.11679452657699585, 0.08349671214818954, 0.35007160902023315, 0.5302070379257202, -0.2292693555355072, -0.056977566331624985, -0.670845091342926, -0.18037880957126617, 0.0334140844643116, 0.2091122418642044, 0.034243710339069366, -0.06005797162652016, 0.1634184569120407, -0.17292724549770355, 0.3828255832195282, 0.04049579054117203, 0.11378959566354752, -0.43767666816711426, 0.27681395411491394, 0.3054163455963135, 0.055911414325237274, 0.1702730506658554, -0.30288243293762207, -0.4051656126976013, 0.10779684782028198, -0.07921554893255234, -0.10174804925918579, -0.14919836819171906, -0.2581538259983063, 0.08738286048173904, 0.1018645390868187, 0.0911848396062851, -0.16663900017738342, 0.040948279201984406, -0.26818031072616577, 0.0666370764374733, -0.1968863159418106, -0.2919570505619049, 0.05981452018022537, -0.3912503719329834, 0.11633200198411942, -0.2206181287765503, -0.4664878845214844, 0.015599946491420269, -0.03838244080543518, -0.3206096589565277, 0.480473130941391, 0.17285248637199402, -0.33700671792030334, 0.18432530760765076, -0.20028257369995117, -0.17313846945762634, 0.15379278361797333, -0.24275484681129456, -0.12643836438655853]
10;contratos_rescisao_arrependimento;[0.22816331684589386, 0.06914979219436646, -0.06628093868494034, 0.05883712321519852, -0.21393728256225586, 0.29765498638153076, 0.0689176470041275, 0.24537518620491028, -0.2766515612602234, 0.00017105918959714472, -0.536766529083252, 0.13066239655017853, 0.05350819230079651, 0.43346700072288513, -0.19907665252685547, -0.24423864483833313, 0.0258176289498806, -0.5355739593505859, -0.30446767807006836, 0.05162743479013443, 0.026043707504868507, 0.08778006583452225, 0.033077631145715714, 0.3297428488731384, 0.34147536754608154, 0.06770452857017517, -0.25075167417526245, 0.15967229008674622, -0.20341601967811584, -0.2623160779476166, -0.15593716502189636, -0.04042365401983261, 0.09444340318441391, 0.09529012441635132, 0.1084957867860794, -0.048569828271865845, 0.21425776183605194, -0.5478055477142334, 0.017505507916212082, 0.28346893191337585, 0.192047119140625, 0.013842174783349037, 0.43001943826675415, -0.23803624510765076, 0.20755688846111298, 0.10462050139904022, 0.0787135437130928, 0.3376450538635254, 0.5062536001205444, -0.22302350401878357, -0.04905823618173599, -0.638161838054657, -0.17909975349903107, 0.035156458616256714, 0.20029501616954803, 0.02817436121404171, -0.05645594000816345, 0.151239812374115, -0.1591690331697464, 0.3608289659023285, 0.0342010036110878, 0.11054772138595581, -0.415060818195343, 0.2623070478439331, 0.2974918484687805, 0.0523802749812603, 0.15877053141593933, -0.28882652521133423, -0.3890710473060608, 0.0992782860994339, -0.07397378981113434, -0.09084279090166092, -0.14710193872451782, -0.24961335957050323, 0.08091674745082855, 0.1012314185500145, 0.08465256541967392, -0.16421902179718018, 0.03971855714917183, -0.25799843668937683, 0.06305332481861115, -0.190080463886261, -0.2817190885543823, 0.05914665386080742, -0.37510329484939575, 0.11881216615438461, -0.208897203207016, -0.4502955377101898, 0.017998849973082542, -0.03271957486867905, -0.3108072876930237, 0.4595985412597656, 0.15965500473976135, -0.3235771059989929, 0.17391881346702576, -0.19242241978645325, -0.16032147407531738, 0.15233270823955536, -0.23089107871055603, -0.12066955864429474]
